wavelength,x,y,z
0.0,-3.04296875,0.1201171875,2.40234375
0.0005,-3.04296875,0.80078125,1.7216796875
0.001,-3.1630859375,1.521484375,1.1611328125
0.0015,-3.283203125,2.1220703125,0.640625
0.002,-3.203125,2.482421875,0.3203125
0.0025,-2.8828125,2.642578125,-0.240234375
0.003,-2.322265625,2.802734375,-0.9208984375
0.0035,-1.6416015625,3.0029296875,-1.8017578125
0.004,-1.1611328125,3.203125,-2.5224609375
0.0045,-0.720703125,3.3232421875,-3.0029296875
0.005,-0.3203125,3.203125,-3.283203125
0.0055,0.3603515625,2.6826171875,-3.4833984375
0.006,1.1611328125,2.08203125,-3.6435546875
0.0065,1.921875,1.4814453125,-3.8037109375
0.007,2.482421875,1.041015625,-3.923828125
0.0075,2.72265625,0.720703125,-3.84375
0.008,2.8427734375,0.240234375,-3.4833984375
0.0085,2.8427734375,-0.48046875,-2.9228515625
0.009,2.9228515625,-1.28125,-2.162109375
0.0095,3.0830078125,-2.0419921875,-1.6416015625
0.01,3.1630859375,-2.5224609375,-1.201171875
0.0105,3.04296875,-2.7626953125,-0.80078125
0.011,2.5224609375,-2.8828125,-0.16015625
0.0115,1.921875,-3.0830078125,0.640625
0.012,1.2412109375,-3.283203125,1.5615234375
0.0125,0.7607421875,-3.4833984375,2.162109375
0.013,0.400390625,-3.4833984375,2.5224609375
0.0135,-0.080078125,-3.203125,2.802734375
0.014,-0.880859375,-2.6025390625,2.9228515625
0.0145,-1.6416015625,-1.9619140625,3.0830078125
0.015,-2.2822265625,-1.44140625,3.203125
0.0155,-2.72265625,-1.0810546875,3.283203125
0.016,-2.8828125,-0.80078125,3.123046875
0.0165,-2.8828125,-0.240234375,2.5625
0.017,-2.962890625,0.4404296875,2.0419921875
0.0175,-3.123046875,1.201171875,1.3212890625
0.018,-3.203125,1.8818359375,0.9208984375
0.0185,-3.203125,2.2421875,0.48046875
0.019,-3.0029296875,2.5224609375,0.080078125
0.0195,-2.482421875,2.6025390625,-0.6005859375
0.02,-1.921875,2.802734375,-1.361328125
0.0205,-1.3212890625,3.04296875,-2.1220703125
0.021,-0.9609375,3.203125,-2.72265625
0.0215,-0.6005859375,3.1630859375,-3.04296875
0.022,0.0,2.8427734375,-3.2431640625
0.0225,0.6806640625,2.3623046875,-3.4833984375
0.023,1.521484375,1.7216796875,-3.603515625
0.0235,2.1220703125,1.28125,-3.8037109375
0.024,2.5224609375,0.9208984375,-3.84375
0.0245,2.6826171875,0.5205078125,-3.68359375
0.025,2.6826171875,-0.1201171875,-3.123046875
0.0255,2.8427734375,-0.80078125,-2.5625
0.026,3.0029296875,-1.5615234375,-1.9619140625
0.0265,3.1630859375,-2.2021484375,-1.4814453125
0.027,3.0830078125,-2.5625,-1.0810546875
0.0275,2.802734375,-2.7626953125,-0.5205078125
0.028,2.2421875,-2.9228515625,0.16015625
0.0285,1.5615234375,-3.1630859375,1.041015625
0.029,1.0810546875,-3.36328125,1.76171875
0.0295,0.6806640625,-3.5234375,2.322265625
0.03,0.240234375,-3.36328125,2.6025390625
0.0305,-0.4404296875,-2.8828125,2.802734375
0.031,-1.2412109375,-2.322265625,3.0029296875
0.0315,-2.0419921875,-1.681640625,3.203125
0.032,-2.5625,-1.3212890625,3.3232421875
0.0325,-2.802734375,-1.0009765625,3.1630859375
0.033,-2.9228515625,-0.560546875,2.8828125
0.0335,-2.9228515625,0.1201171875,2.2421875
0.034,-3.0830078125,0.9609375,1.6416015625
0.0345,-3.203125,1.6416015625,1.12109375
0.035,-3.283203125,2.2021484375,0.6806640625
0.0355,-3.0830078125,2.40234375,0.2802734375
0.036,-2.642578125,2.5625,-0.3203125
0.0365,-2.08203125,2.802734375,-1.1611328125
0.037,-1.44140625,3.0029296875,-2.001953125
0.0375,-1.0009765625,3.1630859375,-2.5625
0.038,-0.640625,3.203125,-2.962890625
0.0385,-0.16015625,3.0029296875,-3.203125
0.039,0.6005859375,2.40234375,-3.36328125
0.0395,1.28125,1.8818359375,-3.5634765625
0.04,2.001953125,1.28125,-3.7236328125
0.0405,2.40234375,0.9609375,-3.84375
0.041,2.6025390625,0.560546875,-3.68359375
0.0415,2.6826171875,0.080078125,-3.283203125
0.042,2.802734375,-0.560546875,-2.6826171875
0.0425,2.8427734375,-1.3212890625,-2.0419921875
0.043,3.04296875,-2.001953125,-1.5615234375
0.0435,3.0830078125,-2.4423828125,-1.1611328125
0.044,2.8828125,-2.6826171875,-0.720703125
0.0445,2.3623046875,-2.8427734375,0.0
0.045,1.841796875,-3.0830078125,0.720703125
0.0455,1.201171875,-3.283203125,1.5615234375
0.046,0.80078125,-3.4833984375,2.162109375
0.0465,0.400390625,-3.4033203125,2.5224609375
0.047,-0.16015625,-3.1630859375,2.7626953125
0.0475,-1.0009765625,-2.5224609375,2.962890625
0.048,-1.76171875,-1.9619140625,3.1630859375
0.0485,-2.40234375,-1.44140625,3.2431640625
0.049,-2.7626953125,-1.12109375,3.3232421875
0.0495,-2.9228515625,-0.720703125,3.04296875
0.05,-2.9228515625,0.0,2.5224609375
0.0505,-3.0830078125,0.6806640625,1.921875
0.051,-3.203125,1.521484375,1.28125
0.0515,-3.36328125,2.0419921875,0.80078125
0.052,-3.203125,2.40234375,0.3603515625
0.0525,-2.9228515625,2.6025390625,-0.16015625
0.053,-2.2822265625,2.72265625,-0.9609375
0.0535,-1.6416015625,3.0029296875,-1.76171875
0.054,-1.12109375,3.1630859375,-2.5224609375
0.0545,-0.7607421875,3.283203125,-2.962890625
0.055,-0.2802734375,3.04296875,-3.203125
0.0555,0.3603515625,2.6025390625,-3.36328125
0.056,1.201171875,2.001953125,-3.5634765625
0.0565,1.921875,1.361328125,-3.763671875
0.057,2.40234375,0.9609375,-3.8037109375
0.0575,2.642578125,0.6005859375,-3.763671875
0.058,2.72265625,0.2802734375,-3.36328125
0.0585,2.6826171875,-0.4404296875,-2.72265625
0.059,2.8427734375,-1.1611328125,-2.2021484375
0.0595,3.0029296875,-1.921875,-1.6015625
0.06,3.04296875,-2.3623046875,-1.2412109375
0.0605,2.8828125,-2.6025390625,-0.80078125
0.061,2.5224609375,-2.802734375,-0.2802734375
0.0615,1.921875,-2.9228515625,0.560546875
0.062,1.28125,-3.1630859375,1.3212890625
0.0625,0.880859375,-3.36328125,1.9619140625
0.063,0.5205078125,-3.443359375,2.40234375
0.0635,0.0400390625,-3.203125,2.642578125
0.064,-0.640625,-2.642578125,2.802734375
0.0645,-1.4013671875,-2.2021484375,3.0029296875
0.065,-2.1220703125,-1.6416015625,3.1630859375
0.0655,-2.5625,-1.3212890625,3.2431640625
0.066,-2.802734375,-0.880859375,3.123046875
0.0665,-2.9228515625,-0.3603515625,2.7626953125
0.067,-2.962890625,0.3203125,2.162109375
0.0675,-3.0830078125,1.0810546875,1.5615234375
0.068,-3.2431640625,1.76171875,1.041015625
0.0685,-3.283203125,2.2421875,0.640625
0.069,-3.0830078125,2.4423828125,0.16015625
0.0695,-2.5625,2.642578125,-0.5205078125
0.07,-2.001953125,2.8828125,-1.3212890625
0.0705,-1.4013671875,3.1630859375,-2.162109375
0.071,-1.0009765625,3.283203125,-2.72265625
0.0715,-0.6005859375,3.283203125,-3.1630859375
0.072,0.0400390625,2.9228515625,-3.36328125
0.0725,0.8408203125,2.2421875,-3.5634765625
0.073,1.6015625,1.6416015625,-3.7236328125
0.0735,2.2822265625,1.12109375,-3.923828125
0.074,2.6025390625,0.880859375,-3.8837890625
0.0745,2.72265625,0.400390625,-3.5634765625
0.075,2.8427734375,-0.2001953125,-3.0830078125
0.0755,2.8828125,-1.0009765625,-2.3623046875
0.076,3.04296875,-1.8017578125,-1.7216796875
